_id,name,romanize name,School-Department,University,Rank,Apella_id,Scholar name,Scholar id,Semantic Scholar name,Semantic Scholar id,name_similarity
{'$oid': '61930c81ae4bf4c086788500'},Dimitris Karagiannis,Dimitris Karagiannis,Computer Science,University of Vienna,Καθηγητής,5128,Unknown,Unknown,D. Karagiannis,145328956,0.764705882352941
{'$oid': '61931333ae4bf4c086788534'},Κων/νος Αϊδίνης ,Kon/nos Aidinis ,Φυσικής,uoa,Αναπληρωτής Καθηγητής,132,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61931605ae4bf4c08678854a'},Χρήστος Αντωνόπουλος,Christos Antonopoulos,Ηλεκτρολόγων Μηχανικών & Μηχανικών Υπολογιστών,auth,Καθηγητής,18399,Unknown,Unknown,Unknown,Unknown,
{'$oid': '619317feae4bf4c08678855a'},Δημήτριος Βάρσος,Dimitrios Varsos,Μαθηματικών,uoa,Καθηγητής,4679,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61931859ae4bf4c08678855e'},Γεώργιος Βασιλακόπουλος,Georgios Vasilakopoulos,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6676,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61931a9bae4bf4c086788570'},Θεόδωρος Βλάχος,Theodoros Vlachos,Τεχνών Ήχου και Εικόνας,ionio,Αναπληρωτής Καθηγητής,988,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61932278ae4bf4c0867885aa'},Αλέξιος Δελής,Alexios Delis,Πληροφροικής & Τηλεπικοινωνιών,uoa,Καθηγητής,19716,Unknown,Unknown,Alexios Delis,15808649,1
{'$oid': '61932597ae4bf4c0867885ba'},Νικόλαος Διαμαντής,Nikolaos Diamantis,School of Mathematical Science,University of Nottingham,Αναπληρωτής Καθηγητής,2863,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61932d0fae4bf4c0867885fa'},Αχιλλέας Καμέας,Achilleas Kameas,θετικών Επιστημων και Τεχνολογίας,eap, Καθηγητής,1858,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61932ea3ae4bf4c086788606'},Κωνσταντίνος Καραθανάσις,Konstantinos Karathanasis,School of Music,"University of Oklahoma, USA",Καθηγητής,1212,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61932eb8ae4bf4c08678860a'},Γεώργιος Καραμπάτης,Georgios Karampatis, Information Systems,University of Maryland Baltimore County (UMBC),Αναπληρωτής Καθηγητής,6153,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61933125ae4bf4c086788614'},Ελπίδα Κεραυνού - Παπαηλιού,Elpida Keravnou - Papailiou, Πληροφορικής,Cyprus University of Technology,Καθηγητής,4473,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61933b3fae4bf4c086788646'},Παναγιώτης  Κωττής,Panagiotis  Kottis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,4033,Unknown,Unknown,P. Cottis,1716787,
{'$oid': '6193497cae4bf4c08678868a'},Ανδρέας Μνιέστρης ,Andreas Mniestris ,Μουσικών Σπουδών,ionio,Αναπληρωτής Καθηγητής,3752,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61934984ae4bf4c08678868c'},Παναγιώτα Μορφούλη,Panagiota Morfouli,school of Engineering and Management,Institut Polytechnique de Grenoble,Καθηγητής,5054,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61934c7dae4bf4c08678869e'},Στυλιανός Μπακαμίδης,Stylianos Bakamidis,Ινστιτούτο Επεξεργασίας του Λόγου,Ε.Κ. Αθηνά,Διευθυντής Ερευνών,17848,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61934f98ae4bf4c0867886ba'},Νικόλαος Μπουρμπάκης,Nikolaos Bourmpakis,Informatics and Technology,Wright State University,Καθηγητής,2334,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61934ff7ae4bf4c0867886c0'},Παύλος Μωραϊτης,Pavlos Moraitis,Mathematics and Computer Science,Paris Descartes University/Laboratory of Informatics Paris Descartes (LIPADE),Καθηγητής,3395,Unknown,Unknown,Pavlos Moraitis,1865895,1
{'$oid': '61935bfeae4bf4c0867886f2'},Θεμιστοκλής Παναγιωτόπουλος,Themistoklis Panagiotopoulos,Πληροφορικής,unipi,Καθηγητής,2296,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61935f49ae4bf4c086788702'},Ιωάννης Παπανάνος,Ioannis Papananos,Ηλεκτρολόγων Μηχ. & Μηχ. Υπολογιστών,ntua,Καθηγητής,17725,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61935fbbae4bf4c08678870a'},Αθανάσιος Παπίστας,Athanasios Papistas,Μαθηματικών,auth,Καθηγητής,19312,Unknown,Unknown,Unknown,Unknown,
{'$oid': '619360f6ae4bf4c086788716'},Γεώργιος Παυλίδης,Georgios Pavlidis,Μηχ. Η/Υ & Πληροφορικής,upatras,Καθηγητής,1164,Unknown,Unknown,Unknown,Unknown,
{'$oid': '61936121ae4bf4c08678871a'},Φωτεινή - Νιόβη Παυλίδου ,Foteini - Niovi Pavlidou ,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,auth,Καθηγητής,10392,Unknown,Unknown,F. Pavlidou,3213730,0.555555555555556
{'$oid': '6193a43ab47f86925d9631a7'},Δημήτριος Πουλάκης,Dimitrios Poulakis,Μαθηματικών,auth,Καθηγητής,19745,Unknown,Unknown,Dimitrios Poulakis,3353228,1
{'$oid': '6193a4efb47f86925d9631ab'},Ανδριάνα Πρέντζα,Andriana Prentza,Ψηφιακών Συστημάτων,unipi,Καθηγητής,6222,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193a4feb47f86925d9631ad'},Κωνσταντίνος Ραυτόπουλος,Konstantinos Raftopoulos,{'$numberDouble': 'NaN'},Conservatoire National des Arts et Métiers (CNAM),Κύριος Ερευνητής,2262,Unknown,Unknown,Konstantinos A. Raftopoulos,104421781,0.941176470588235
{'$oid': '6193a504b47f86925d9631af'},Γεώργιος Ραχώνης,Georgios Rachonis,Μαθηματικών,auth,Καθηγητής,19520,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193a684b47f86925d9631bb'},Εμμανουήλ Ρουμελιώτης,Emmanouil Roumeliotis,Εφαρμοσμένης Πληροφορικής,uom,Καθηγητής,9385,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193aad1b47f86925d9631df'},Μάκης (Γεράσιμος) Σολωμός,Makis (Gerasimos) Solomos,Département de Musique,"Université Paris 8, EMDCM, France",Καθηγητής,6076,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193b07eb47f86925d9631f5'},Αλεξανδρος  Σταυδάς,Alexandros  Stavdas,Πληροφορικής και Τηλεπικοινωνιών,uop,Καθηγητής,8110,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193b107b47f86925d9631f9'},Ανδρέας-Γεώργιος Σταφυλοπάτης,Andreas-Georgios Stafylopatis,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,18625,Unknown,Unknown,A. Stafylopatis,1684529,0.636363636363636
{'$oid': '6193b56eb47f86925d963209'},Ευστάθιος  Συκάς,Efstathios  Sykas,Ηλεκτρολόγων Μηχ & Μηχ Υπολογιστών,ntua,Καθηγητής,19447,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193b636b47f86925d963213'},Μιχαήλ Σφακιανάκης,Michail Sfakianakis,Οργάνωσης και Διοίκησης Επιχειρήσεων,unipi,Καθηγητής,8003,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193c7e3b47f86925d96321d'},Ελπίδα Τζαφέστα,Elpida Tzafesta,Ιστορίας και Φιλοσοφίας της Επιστήμης,uoa,Αναπληρωτής Καθηγητής,6163,Unknown,Unknown,E. Tzafestas,3010458,0.740740740740741
{'$oid': '6193d260b47f86925d963257'},Ευγενία Φουστούκου,Evgenia Foustoukou,Πληροφορικής,aueb,Επίκουρος Καθηγητής (Μόνιμος),3689,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193d6e3b47f86925d96326b'},Βάσος Χατζηλάκος,Vasos Chatzilakos,Επιστήμης Υπολογιστών,University of Toronto,Καθηγητής,9285,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193d7f0b47f86925d96326f'},Αλκιβιάδης Χατζόπουλος ,Alkiviadis Chatzopoulos ,ΗΜΜΥ,auth,Καθηγητής,18940,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193d967b47f86925d963275'},Κωνσταντίνος Χρυσαφίνος,Konstantinos Chrysafinos,Εφαρμοσμένων Μαθηματικών και Φυσικών Επιστημών,ntua,Αναπληρωτής Καθηγητής,23527,Unknown,Unknown,Unknown,Unknown,
{'$oid': '6193d981b47f86925d963277'},Βασίλειος Χρυσικόπουλος,Vasileios Chrysikopoulos,Πληροφορικής,ionio,Καθηγητής,4753,Unknown,Unknown,Unknown,Unknown,
